title|title callback|title arguments|description|page callback|page arguments|access callback|access arguments|file|file path|weight|menu_name|type|url
Welcome||||router||||router.inc||||MENU_NORMAL_ITEM|welcome
About Us||||router||||router.inc||||MENU_NORMAL_ITEM|about-us
Contact Us||||router||||router.inc||||MENU_NORMAL_ITEM|contact-us
Services||||router||||router.inc||||MENU_NORMAL_ITEM|services
Service item||||router||||router.inc||||MENU_NORMAL_ITEM|service-item
